ID,Mental Health Msures,Sleep/fatigue,Aggression/conflict/irritation,Anxiety/OCD/Fear,Depression,Loneliness,Substance abuse,Psychotic Disorders,Worry/Stress/Trauma/Distress/Burnout/PTSD/Concern,Coping/Resilience/Self-esteem,Wellbeing/mental health/emotional issues/mood and feeling,"Behavioural symptoms (e.g., impulsive actions)",Grief related trauma,Technology addiction,Eating Disorder/body dysmorphia/physical activity,Suicidal Ideation/attempt/self-harm,Other (e.g. Dissociative syptoms)
181,"Physical Activity Questionnaire (PAQ), Regulatory Emotional Self-Efficacy (RESE) scale (positive affect, despondency-distress, anger-irritation), Symptom Checklist-90",,RESE,SC-R,SC-R,,,,RESE,,,,,,PAQ,,
183,20-item Chinese version of Centre for Ambulatory Survey Depression Scale,,,,CADS-20,,,,,,,,,,,,
184,"PHQ-4, PHQ-8, GAD-7",,,GAD-7,,,,,,,"PHQ-7, PHQ-8",,,,,,
185,"DASS-21, Maslach Burnout Inventory-Human Service Survey",,,,DASS-21,,,,MBIHSS,,,,,,,,
187,PTSD Cchecklist-civilian version (PCL-C),,,,,,,,PCL-C,,,,,,,,
189,"Chinese children's version of the 7-item Game Addiction Scale (GAS), gaming time and mode items. Loneliness single-item 'how often do you feel lonely'. PHQ-9 for depression. GAD-7 for anxiety.",,,GAD-7,PHQ-9,II,,,,,,,,GAS-7,,,
190,"DASS-21, Warwick-Edinburgh Mental Well-Being Scale",,,,DASS-21,,,,,,WEMWS,,,,,,
191,DASS-21,,,,DASS-21,,,,,,,,,,,,
192,"PHQ-9, GAD-7",,,GAD-7,PHQ-9,,,,,,,,,,,,
194,"GHQ-12, computed 'change' scores",,,,,,,,,,GHQ-12,,,,,,
197,negative effects of delayed care on wellbeing,,,,,,,,,,,,,,,,
198,Kessler Psychological Distress Scale (K6),,,,,,,,K-6,,,,,,,,
205,"CoRonavIruS Health Impact Survey (CRISIS), Global Appraisal of Individual Needs Short Screener version 3, DSM-5 PTSD Checklist, ",,,,,,,,CRISIS; PLC-5,,GAIN-SS,,,,,,
207,"Intimate partner violence measured by subscales of the conflict-tactic scale (CTS-2), Brief Symptom Inventory (BSI-18). ",,,,,,,,BSI-18,,,,,,,,
208,"PHQ-2, GAD-2, emotional distress under COVID-19 scale",,,GAD-2,PHQ-2,,,,ED-COVID-19,,,,,,,,
209,Measure of Moral Distress for Healthcare Professionas (MMD-HP),,,,,,,,MMD-HP,,,,,,,,
210,"Daily Heterosexist Experiences Questionnaire, LGBT Minority Stress Measure, Kessler-10, ",,,,K-10,,,,LGBT-MSM,,,,,,,,
215,"Minimum European Health Module, WHO-5",,,,,,,,,,WHO-5,,,,,,
221,Mental Health Continuum,,,,,,,,,,MHC,,,,,,
222,"Mood and Feeling Questionnaire-Child Self-Report, Screen for Child Anxiety Related Disorders-Child Version, and Children's Revised Impact of Event Scale-8",,,SCARD-C,MFQ-CSR,,,,,CR-IES,,,,,,,
223,"Vulnerable Attahment Style Questionnaire, Distress Tolerane Scale, Brief Resilient Coping Scale, McLean Screening Instrument-Borderline Personality Disorder, Boarderline Personality Features Scale, Short Suggestibility Scale, Social Phobia Scale, Social Interaction Anxiety Scale, Yale Global Tic Severity Scale, ",,,SIAS,,,,,DTS,BRCS,,YGTSS,,,,,
225,Kessler-10,,,,K-10,,,,,,,,,,,,
226,"GHQ-12, PHQ-9",,,,PHQ-9,,,,GHQ-12,,,,,,,,
227,State-Trait Depression Scale; Perceived Stress Questionnaire,,,,STDS,,,,PSQ,,,,,,,,
228,"PHQ-2, GAD-2",,,GAD-2,PHQ-9,,,,,,,,,,,,
230,"COVID-19 Stressful Life Event Measure, PHQ-9, GAD-7",,,GAD-7,PHQ-9,,,,CSLEM,,,,,,,,
231,Centre for Epidemiologic Studies Depression Scale (CES-D),,,,CESD,,,,,,,,,,,,
232,Japanese version of Short Mood and Feelings Questionnaire,,,,,,,,,,S-MFQ-J,,,,,,
233,"Adjustement Disorder-New Module 8 scale (ADNM-8), PHQ-9, Primary Care PTSD Screen for DSM-5",,,,PHQ-9,,,,PCPS-5,,ADNM-8,,,,,,
235,"Gaming Addiction Scale, DASS-21",,,,,,,,,,,,,GAS,,,
237,"Scale of Positive and Negative Experience, Satisfaction with Life Scale, the Brief Inventory of Thriving, GHQ-12, the Rosenberg Self-Esteem Scale, Social Support Scale, Stressful events during the COVID-19 pandemic, ",,,,,,,,II,RSES,SPNE; SLS; BITH; GHQ-12,,,,,,
239,"Chronic Stress-Related Psychological Sequelae, 4-item Posttraumatic Stress Disorder-Checklist; PHQ-8, GAD-7",,,GAD-7,PHQ-8,,,,PCPS-5,,,,,,,,
244,Survey items 4-pt Likert about degree of experiencing depression and anxiety,,,II,II,,,,,,,,,,,,
246,"Dichotomous yes/no mental health for: anxiety, depression, fear of future, loneliness, arguments with family/friends. ",,II,II,II,II,,,,,,,,,,,
247,Revised Children's Anxiety and Depression Scale-Short Version; 8-item Flourishing Scale,,,CAD-SSV,CAD-SSV,,,,,,FS-8,,,,,,
248,Clinical Outcomes in Routine Evaluation- Outcome Measure for Young Person (measures distress),,,,,,,,BP,,,,,,,,
252,"PHQ-9, GAD-7",,,GAD-7,PHQ-9,,,,,,,,,,,,
255,"Four questions about nervousness, depression, loneliness and physical anxiety symptoms",,,II,II,II,,,,,,,,,,,
259,"DASS-21, Athens Insomnia Scale",AIS,,,DASS-21,,,,,,,,,,,,
261,"4-item Patient-Reported Outcome Measure Information System, the Brief COPE",,,,,,,,,BCI,PROMIS,,,,,,
262,Single item asking how stressful social distancing has been 4-pt Likert response,,,,,,,,II,,,,,,,,
263,"Perceived Stress Scale, GAD-7, items about loneliness, group membership, being able to talk about important things Likert-5pt",,,GAD-7,,II,,,PSS,,,,,,,,
264,PHQ-4,,,,PHQ-4,,,,,,,,,,,,
266,Psychological distresss item 3 categories,,,,,,,,II,,,,,,,,
269,"4-pt Likert self-perceived mental health, 3-pt Likert self-perceived impact of pandemic on mental health, 7-pt stress scale, 5-pt emotions scales, 5-pt concern scale, coping strategies items. ",,,,,,,,II; II; II,,SPMH-4; PIPMH-3; II,,,,,,
271,PHQ-9,,,,PHQ-9,,,,,,,,,,,,
272,"GHQ-12, Coping Inventory for Stressful Situations",,,,,,,,,CISS,GHQ-12,,,,,,
273,"PHQ-4, Psychosomatic Symptoms Scale, Connor-Davidson resilience scale 2, ",,,,PHQ-4,,,,,,,,,,,,
274,Kessler-10 for psychological distress,,,,,,,,K-10,,,,,,,,
275,"Parent Spence Children's Anxiety Scale, the Spence Children's Anxiety Scale: physical injury fears (PIF), social phobia (SP), separation anxiety (SA), GAD, panic/agoraphobia (PA), OCD.",,,PSCAS; SCAS,,,,,,,,,,,,,
276,"Fear of COVID-19 Scale, World Health Organisation Quality of Life, DASS-21",,,FCS,DASS-21,,,,,,WHO-QOL,,,,,,
278,"Individual items about stress, State-Trait Anxiety Inventory Scale (STAI), perceived stress scale (PSS-4), Loneliness scale (UCLA)",,,STAI,,UCLA-LS,,,II; PSS,,,,,,,,
280,"German Hospital Anxiety and Depression Scale (HADS), WHO Quality of Life BREF",,,HADS-G,HADS-G,,,,,,WHO-QOL,,,,,,
283,GAD-7,,,GAD-7,,,,,,,,,,,,,
284,DASS-21,,,,DASS-21,,,,,,,,,,,,
287,"Children's sleep habits questionnaire (CSHQ), Child behaviour checklist (CBCL)",CSHQ,,,,,,,,,,CBC,,,,,
288,"Epidemic-Pandemic Impacts Inventory (EPII), DASS-21, GAD-7, 8-item Child-Revised Impact of Events Sacle (CRIES-8), Brief-COPE",,,GAD-7; GAD-8,Dass-21,,,,EPII; CR-IES,BCI,,,,,,,
291,"Items about feeling nervous, anxious, depressed, having a depression or anxiety disorder, not being able to stop worrying",,,II,II,,,,II,,,,,,,,
292,"5pt-Likert 'how much distress' item, GAD-7, 4pt-Likert 'how often past 12 months' loneliness item",,,,,II,,,II,,,,,,,,
293,"Centre for Epidemiological Studies Depression Scale (CES-D), PHQ-2, GAD-2",,,GAD-2,CESD; PHQ-2,,,,,,,,,,,,
294,"Beck Depression Inventory-II, State-Trait Anxiety Inventory, ",,,STAI,BDI-2,,,,,,,,,,,,
296,WHO-5,,,,,,,,,,WHO-5,,,,,,
299,"0-10 Likert scales, 0-4 mild, 5-7 moderate, 8-10 severe for anxiety, depression and mental health support. ",,,II,II,,,,,,,,,,,,
301,"Pittsburgh sleep quality index, Perceived Stress Scale, Connor-Davidson resilience scale, GAD-7, PHQ-9",PSQI,,GAD-7,PHQ-9,,,,PSS,CDRS,,,,,,,
302,GAD-7,,,GAD-7,,,,,,,,,,,,,
303,"DASS-21, Coronavirus Anxiety Scale (CAS)",,,CAS,DASS-21,,,,,,,,,,,,
306,"WHO well-being index, 5-items, 6-pt Likert Scale",,,,,,,,,,WHO-5,,,,,,
311,"PHQ-2, GAD-2",,,GAD-7,PHQ-2,,,,,,,,,,,,
314,"De Jong Gieveld Short Scale: Loneliness, 8-item depressive scale based on Beck scale",,,,BDI-8,DJSS,,,,,,,,,,,
315,8-item center for Epidemiological Studies Depression Scale (CES-D),,,,CESD-8,,,,,,,,,,,,
316,PHQ-4,,,,PHQ-4,,,,,,,,,,,,
317,"WHO-5, Perceived Stress Scale (PSS-10), PHQ-9, GAD-7, Insomnia Severity Index (ISI)",ISI,,GAD-7,PHQ-9,,,,PSS,,WHO-5,,,,,,
318,"Sapanish GHQ-12, Spanish Scale of Psychological Well-being, Spanish Brief COPE inventory (coping)",,,,,,,,,S-BCI,S-GHQ-12; S-PGWBI,,,,,,
320,"GAD-7, PHQ-9, COVID Worry Questionnaire",,,GAD-7,PHQ-9,,,,CWQ,,,,,,,,
321,PHQ-4,,,,PHQ-9,,,,,,,,,,,,
326,Change in alcohol consumption,,,,,,II,,,,,,,,,,
327,"Females: 21-item Beck Depression Inventory (BDI); males: Gotland Male Depression Scale (GMDS); standardized between them to create 'no, minimal-mild, and moderate-severe' depression categories.",,,,BDI-21; GMDS,,,,,,,,,,,,
328,"Item: compared to your frequency before the pandemic, was this the same, less or more?",,,,,,II,,,,,,,,,,
329,"Hopsital Anxiety and Depression Scale (HADS), Perceived Stress Scale (PSS-10), World Health Organisation Quality of Life",,,HADS,HADS,,,,PSS-10,,WHO-QOL,,,,,,
332,DASS-21,,,,DASS-21,,,,,,,,,,,,
334,"Kessler 6 (psychological distress), National Survey on Drug Use and Health for suicidal thinking and behaviors.",,,,,,II,,K-6,,,,,,,,
336,Centre for Epidemilogical Studies Depression-8 (CES-D8),,,,CESD-8,,,,,,,,,,,,
339,Chinese Self-rating depression scale (SDS),,,,CSRDS,,,,,,,,,,,,
340,"DASS-21, PSQI (sleep)",PSQI,,,DASS-21,,,,,,,,,,,,
341,"A-DES-30, DSM-5 Dissociative Disorders and Chinese Classification of Mental Disorders",,,,,,,,,,,,,,,,ADES-30 (dissociative); CCMD (mental disorders)
342,COVID Anxiety Scale,,,CAS,,,,,,,,,,,,,
345,"Kesller K-6, items about alcohol consumption increase/decrease",,,,,,K-6,,,,,,,,,,
346,Short Form of Depression in Old Age Scale,,,,DOAS-SF,,,,,,,,,,,,
347,Sleep duration in minutes,II,,,,,,,,,,,,,,,
348,Item about 'have you chanaged your drinking habits in the last 12 months',,,,,,II,,,,,,,,,,
349,"Dimensions of Anger Reactions-5 (DAR-5), Brief Resilience Scale, CAGE Questionnaire (alcohol)",,DAR-5,,,,CAGE,,,BRCS,,,,,,,
350,"Drug Use Disorder Identification Test (DUDIT), Alcohol Use Disorder Identification Test (AUDIT)",,,,,,AUDIT; DUDIT,,,,,,,,,,
351,PHQ-9,,,,PHQ-9,,,,,,,,,,,,
